id,name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category & sub-category,Percent Funded,Average Donation,Parent Category,Sub-Category
358,Diaz-Garcia,Profit-focused 3rdgeneration circuit,9700,1146,failed,23,CA,CAD,1533877200,1534136400,TRUE,FALSE,photography/photography books,12%,584.5,,
359,Salazar-Moon,Compatible needs-based architecture,4000,11948,successful,187,US,USD,1314421200,1315026000,FALSE,FALSE,film & video/animation,299%,6067.5,,
360,Larsen-Chung,Right-sized zero tolerance migration,59700,135132,successful,2875,GB,GBP,1293861600,1295071200,FALSE,TRUE,theater/plays,226%,69003.5,,
361,Anderson and Sons,Quality-focused reciprocal structure,5500,9546,successful,88,US,USD,1507352400,1509426000,FALSE,FALSE,theater/plays,174%,4817,,
362,Lawrence Group,Automated actuating conglomeration,3700,13755,successful,191,US,USD,1296108000,1299391200,FALSE,FALSE,music/rock,372%,6973,,
363,Gray-Davis,Re-contextualized local initiative,5200,8330,successful,139,US,USD,1324965600,1325052000,FALSE,FALSE,music/rock,160%,4234.5,,
364,Ramirez-Myers,Switchable intangible definition,900,14547,successful,186,US,USD,1520229600,1522818000,FALSE,FALSE,music/indie rock,1616%,7366.5,,
365,"Lucas, Hall and Bonilla",Networked bottom-line initiative,1600,11735,successful,112,AU,AUD,1482991200,1485324000,FALSE,FALSE,theater/plays,733%,5923.5,,
366,"Williams, Perez and Villegas",Robust directional system engine,1800,10658,successful,101,US,USD,1294034400,1294120800,FALSE,TRUE,theater/plays,592%,5379.5,,
367,"Brooks, Jones and Ingram",Triple-buffered explicit methodology,9900,1870,failed,75,US,USD,1413608400,1415685600,FALSE,TRUE,theater/plays,19%,972.5,,
368,"Whitaker, Wallace and Daniels",Reactive directional capacity,5200,14394,successful,206,GB,GBP,1286946000,1288933200,FALSE,TRUE,film & video/documentary,277%,7300,,
369,Smith-Gonzalez,Polarized needs-based approach,5400,14743,successful,154,US,USD,1359871200,1363237200,FALSE,TRUE,film & video/television,273%,7448.5,,
370,Skinner PLC,Intuitive well-modulated middleware,112300,178965,successful,5966,US,USD,1555304400,1555822800,FALSE,FALSE,theater/plays,159%,92465.5,,
371,"Nolan, Smith and Sanchez",Multi-channeled logistical matrices,189200,128410,failed,2176,US,USD,1423375200,1427778000,FALSE,FALSE,theater/plays,68%,65293,,
372,Green-Carr,Pre-emptive bifurcated artificial intelligence,900,14324,successful,169,US,USD,1420696800,1422424800,FALSE,TRUE,film & video/documentary,1592%,7246.5,,
373,Brown-Parker,Down-sized coherent toolset,22500,164291,successful,2106,US,USD,1502946000,1503637200,FALSE,FALSE,theater/plays,730%,83198.5,,
374,Marshall Inc,Open-source multi-tasking data-warehouse,167400,22073,failed,441,US,USD,1547186400,1547618400,FALSE,TRUE,film & video/documentary,13%,11257,,
375,Leblanc-Pineda,Future-proofed upward-trending contingency,2700,1479,failed,25,US,USD,1444971600,1449900000,FALSE,FALSE,music/indie rock,55%,752,,
376,Perry PLC,Mandatory uniform matrix,3400,12275,successful,131,US,USD,1404622800,1405141200,FALSE,FALSE,music/rock,361%,6203,,
377,"Klein, Stark and Livingston",Phased methodical initiative,49700,5098,failed,127,US,USD,1571720400,1572933600,FALSE,FALSE,theater/plays,10%,2612.5,,
378,Fleming-Oliver,Managed stable function,178200,24882,failed,355,US,USD,1526878800,1530162000,FALSE,FALSE,film & video/documentary,14%,12618.5,,
379,"Reilly, Aguirre and Johnson",Realigned clear-thinking migration,7200,2912,failed,44,GB,GBP,1319691600,1320904800,FALSE,FALSE,theater/plays,40%,1478,,
380,"Davidson, Wilcox and Lewis",Optional clear-thinking process improvement,2500,4008,successful,84,US,USD,1371963600,1372395600,FALSE,FALSE,theater/plays,160%,2046,,
381,"Michael, Anderson and Vincent",Cross-group global moratorium,5300,9749,successful,155,US,USD,1433739600,1437714000,FALSE,FALSE,theater/plays,184%,4952,,
382,King Ltd,Visionary systemic process improvement,9100,5803,failed,67,US,USD,1508130000,1509771600,FALSE,FALSE,photography/photography books,64%,2935,,
383,Baker Ltd,Progressive intangible flexibility,6300,14199,successful,189,US,USD,1550037600,1550556000,FALSE,TRUE,food/food trucks,225%,7194,,
384,"Baker, Collins and Smith",Reactive real-time software,114400,196779,successful,4799,US,USD,1486706400,1489039200,TRUE,TRUE,film & video/documentary,172%,100789,,
385,Warren-Harrison,Programmable incremental knowledge user,38900,56859,successful,1137,US,USD,1553835600,1556600400,FALSE,FALSE,publishing/nonfiction,146%,28998,,
386,Gardner Group,Progressive 5thgeneration customer loyalty,135500,103554,failed,1068,US,USD,1277528400,1278565200,FALSE,FALSE,theater/plays,76%,52311,,
387,Flores-Lambert,Triple-buffered logistical frame,109000,42795,failed,424,US,USD,1339477200,1339909200,FALSE,FALSE,technology/wearables,39%,21609.5,,
388,Cruz Ltd,Exclusive dynamic adapter,114800,12938,canceled,145,CH,CHF,1325656800,1325829600,FALSE,FALSE,music/indie rock,11%,6541.5,,
389,Knox-Garner,Automated systemic hierarchy,83000,101352,successful,1152,US,USD,1288242000,1290578400,FALSE,FALSE,theater/plays,122%,51252,,
390,Davis-Allen,Digitized eco-centric core,2400,4477,successful,50,US,USD,1379048400,1380344400,FALSE,FALSE,photography/photography books,187%,2263.5,,
391,Miller-Patel,Mandatory uniform strategy,60400,4393,failed,151,US,USD,1389679200,1389852000,FALSE,FALSE,publishing/nonfiction,7%,2272,,
392,Hernandez-Grimes,Profit-focused zero administration forecast,102900,67546,failed,1608,US,USD,1294293600,1294466400,FALSE,FALSE,technology/wearables,66%,34577,,
393,"Owens, Hall and Gonzalez",De-engineered static orchestration,62800,143788,successful,3059,CA,CAD,1500267600,1500354000,FALSE,FALSE,music/jazz,229%,73423.5,,
394,Noble-Bailey,Customizable dynamic info-mediaries,800,3755,successful,34,US,USD,1375074000,1375938000,FALSE,TRUE,film & video/documentary,469%,1894.5,,
395,Taylor PLC,Enhanced incremental budgetary management,7100,9238,successful,220,US,USD,1323324000,1323410400,TRUE,FALSE,theater/plays,130%,4729,,
396,Holmes PLC,Digitized local info-mediaries,46100,77012,successful,1604,AU,AUD,1538715600,1539406800,FALSE,FALSE,film & video/drama,167%,39308,,
397,Jones-Martin,Virtual systematic monitoring,8100,14083,successful,454,US,USD,1369285200,1369803600,FALSE,FALSE,music/rock,174%,7268.5,,
398,Myers LLC,Reactive bottom-line open architecture,1700,12202,successful,123,IT,EUR,1525755600,1525928400,FALSE,TRUE,film & video/animation,718%,6162.5,,
399,"Acosta, Mullins and Morris",Pre-emptive interactive model,97300,62127,failed,941,US,USD,1296626400,1297231200,FALSE,FALSE,music/indie rock,64%,31534,,
400,Bell PLC,Ergonomic eco-centric open architecture,100,2,failed,1,US,USD,1376629200,1378530000,FALSE,TRUE,photography/photography books,2%,1.5,,
401,Smith-Schmidt,Inverse radical hierarchy,900,13772,successful,299,US,USD,1572152400,1572152400,FALSE,FALSE,theater/plays,1530%,7035.5,,
402,"Ruiz, Richardson and Cole",Team-oriented static interface,7300,2946,failed,40,US,USD,1325829600,1329890400,FALSE,TRUE,film & video/shorts,40%,1493,,
403,Leonard-Mcclain,Virtual foreground throughput,195800,168820,failed,3015,CA,CAD,1273640400,1276750800,FALSE,TRUE,theater/plays,86%,85917.5,,
404,Bailey-Boyer,Visionary exuding Internet solution,48900,154321,successful,2237,US,USD,1510639200,1510898400,FALSE,FALSE,theater/plays,316%,78279,,
405,Lee LLC,Synchronized secondary analyzer,29600,26527,failed,435,US,USD,1528088400,1532408400,FALSE,FALSE,theater/plays,90%,13481,,
406,Lyons Inc,Balanced attitude-oriented parallelism,39300,71583,successful,645,US,USD,1359525600,1360562400,TRUE,FALSE,film & video/documentary,182%,36114,,
407,Herrera-Wilson,Organized bandwidth-monitored core,3400,12100,successful,484,DK,DKK,1570942800,1571547600,FALSE,FALSE,theater/plays,356%,6292,,
408,"Mahoney, Adams and Lucas",Cloned leadingedge utilization,9200,12129,successful,154,CA,CAD,1466398800,1468126800,FALSE,FALSE,film & video/documentary,132%,6141.5,,
409,Stewart LLC,Secured asymmetric projection,135600,62804,failed,714,US,USD,1492491600,1492837200,FALSE,FALSE,music/rock,46%,31759,,
410,Mcmillan Group,Advanced cohesive Graphic Interface,153700,55536,live,1111,US,USD,1430197200,1430197200,FALSE,FALSE,games/mobile games,36%,28323.5,,
411,"Beck, Thompson and Martinez",Down-sized maximized function,7800,8161,successful,82,US,USD,1496034000,1496206800,FALSE,FALSE,theater/plays,105%,4121.5,,
412,Rodriguez-Scott,Realigned zero tolerance software,2100,14046,successful,134,US,USD,1388728800,1389592800,FALSE,FALSE,publishing/fiction,669%,7090,,
413,Rush-Bowers,Persevering analyzing extranet,189500,117628,live,1089,US,USD,1543298400,1545631200,FALSE,FALSE,film & video/animation,62%,59358.5,,
414,Davis and Sons,Innovative human-resource migration,188200,159405,failed,5497,US,USD,1271739600,1272430800,FALSE,TRUE,food/food trucks,85%,82451,,
415,Anderson-Pham,Intuitive needs-based monitoring,113500,12552,failed,418,US,USD,1326434400,1327903200,FALSE,FALSE,theater/plays,11%,6485,,
416,Stewart-Coleman,Customer-focused disintermediate toolset,134600,59007,failed,1439,US,USD,1295244000,1296021600,FALSE,TRUE,film & video/documentary,44%,30223,,
417,"Bradshaw, Smith and Ryan",Upgradable 24/7 emulation,1700,943,failed,15,US,USD,1541221200,1543298400,FALSE,FALSE,theater/plays,55%,479,,
418,Jackson PLC,Quality-focused client-server core,163700,93963,failed,1999,CA,CAD,1336280400,1336366800,FALSE,FALSE,film & video/documentary,57%,47981,,
419,Ware-Arias,Upgradable maximized protocol,113800,140469,successful,5203,US,USD,1324533600,1325052000,FALSE,FALSE,technology/web,123%,72836,,
420,"Blair, Reyes and Woods",Cross-platform interactive synergy,5000,6423,successful,94,US,USD,1498366800,1499576400,FALSE,FALSE,theater/plays,128%,3258.5,,
421,Thomas-Lopez,User-centric fault-tolerant archive,9400,6015,failed,118,US,USD,1498712400,1501304400,FALSE,TRUE,technology/wearables,64%,3066.5,,
422,"Brown, Davies and Pacheco",Reverse-engineered regional knowledge user,8700,11075,successful,205,US,USD,1271480400,1273208400,FALSE,TRUE,theater/plays,127%,5640,,
423,Jones-Riddle,Self-enabling real-time definition,147800,15723,failed,162,US,USD,1316667600,1316840400,FALSE,TRUE,food/food trucks,11%,7942.5,,
424,Schmidt-Gomez,User-centric impactful projection,5100,2064,failed,83,US,USD,1524027600,1524546000,FALSE,FALSE,music/indie rock,40%,1073.5,,
425,"Sullivan, Davis and Booth",Vision-oriented actuating hardware,2700,7767,successful,92,US,USD,1438059600,1438578000,FALSE,FALSE,photography/photography books,288%,3929.5,,
426,Edwards-Kane,Virtual leadingedge framework,1800,10313,successful,219,US,USD,1361944800,1362549600,FALSE,FALSE,theater/plays,573%,5266,,
427,"Hicks, Wall and Webb",Managed discrete framework,174500,197018,successful,2526,US,USD,1410584400,1413349200,FALSE,TRUE,theater/plays,113%,99772,,
428,Mayer-Richmond,Progressive zero-defect capability,101400,47037,failed,747,US,USD,1297404000,1298008800,FALSE,FALSE,film & video/animation,46%,23892,,
429,Robles Ltd,Right-sized demand-driven adapter,191000,173191,canceled,2138,US,USD,1392012000,1394427600,FALSE,TRUE,photography/photography books,91%,87664.5,,
430,Cochran Ltd,Re-engineered attitude-oriented frame,8100,5487,failed,84,US,USD,1569733200,1572670800,FALSE,FALSE,theater/plays,68%,2785.5,,
431,Rosales LLC,Compatible multimedia utilization,5100,9817,successful,94,US,USD,1529643600,1531112400,TRUE,FALSE,theater/plays,192%,4955.5,,
432,Harper-Bryan,Re-contextualized dedicated hardware,7700,6369,failed,91,US,USD,1399006800,1400734800,FALSE,FALSE,theater/plays,83%,3230,,
433,"Potter, Harper and Everett",Decentralized composite paradigm,121400,65755,failed,792,US,USD,1385359200,1386741600,FALSE,TRUE,film & video/documentary,54%,33273.5,,
434,Floyd-Sims,Cloned transitional hierarchy,5400,903,canceled,10,CA,CAD,1480572000,1481781600,TRUE,FALSE,theater/plays,17%,456.5,,
435,"Spence, Jackson and Kelly",Advanced discrete leverage,152400,178120,successful,1713,IT,EUR,1418623200,1419660000,FALSE,TRUE,theater/plays,117%,89916.5,,
436,King-Nguyen,Open-source incremental throughput,1300,13678,successful,249,US,USD,1555736400,1555822800,FALSE,FALSE,music/jazz,1052%,6963.5,,
437,Hansen Group,Centralized regional interface,8100,9969,successful,192,US,USD,1442120400,1442379600,FALSE,TRUE,film & video/animation,123%,5080.5,,
438,"Mathis, Hall and Hansen",Streamlined web-enabled knowledgebase,8300,14827,successful,247,US,USD,1362376800,1364965200,FALSE,FALSE,theater/plays,179%,7537,,
439,Cummings Inc,Digitized transitional monitoring,28400,100900,successful,2293,US,USD,1478408400,1479016800,FALSE,FALSE,film & video/science fiction,355%,51596.5,,
440,Miller-Poole,Networked optimal adapter,102500,165954,successful,3131,US,USD,1498798800,1499662800,FALSE,FALSE,film & video/television,162%,84542.5,,
441,Rodriguez-West,Automated optimal function,7000,1744,failed,32,US,USD,1335416400,1337835600,FALSE,FALSE,technology/wearables,25%,888,,
442,"Calderon, Bradford and Dean",Devolved system-worthy framework,5400,10731,successful,143,IT,EUR,1504328400,1505710800,FALSE,FALSE,theater/plays,199%,5437,,
443,Clark-Bowman,Stand-alone user-facing service-desk,9300,3232,canceled,90,US,USD,1285822800,1287464400,FALSE,FALSE,theater/plays,35%,1661,,
444,Hensley Ltd,Versatile global attitude,6200,10938,successful,296,US,USD,1311483600,1311656400,FALSE,TRUE,music/indie rock,176%,5617,,
445,Anderson-Pearson,Intuitive demand-driven Local Area Network,2100,10739,successful,170,US,USD,1291356000,1293170400,FALSE,TRUE,theater/plays,511%,5454.5,,
446,"Martin, Martin and Solis",Assimilated uniform methodology,6800,5579,failed,186,US,USD,1355810400,1355983200,FALSE,FALSE,technology/wearables,82%,2882.5,,
447,Harrington-Harper,Self-enabling next generation algorithm,155200,37754,canceled,439,GB,GBP,1513663200,1515045600,FALSE,FALSE,film & video/television,24%,19096.5,,
448,Price and Sons,Object-based demand-driven strategy,89900,45384,failed,605,US,USD,1365915600,1366088400,FALSE,TRUE,games/video games,50%,22994.5,,
449,Cuevas-Morales,Public-key coherent ability,900,8703,successful,86,DK,DKK,1551852000,1553317200,FALSE,FALSE,games/video games,967%,4394.5,,
450,Delgado-Hatfield,Up-sized composite success,100,4,failed,1,CA,CAD,1540098000,1542088800,FALSE,FALSE,film & video/animation,4%,2.5,,
451,Padilla-Porter,Innovative exuding matrix,148400,182302,successful,6286,US,USD,1500440400,1503118800,FALSE,FALSE,music/rock,123%,94294,,
452,Morris Group,Realigned impactful artificial intelligence,4800,3045,failed,31,US,USD,1278392400,1278478800,FALSE,FALSE,film & video/drama,63%,1538,,
453,Saunders Ltd,Multi-layered multi-tasking secured line,182400,102749,failed,1181,US,USD,1480572000,1484114400,FALSE,FALSE,film & video/science fiction,56%,51965,,
454,Woods Inc,Upgradable upward-trending portal,4000,1763,failed,39,US,USD,1382331600,1385445600,FALSE,TRUE,film & video/drama,44%,901,,
455,"Villanueva, Wright and Richardson",Profit-focused global product,116500,137904,successful,3727,US,USD,1316754000,1318741200,FALSE,FALSE,theater/plays,118%,70815.5,,
456,"Wilson, Brooks and Clark",Operative well-modulated data-warehouse,146400,152438,successful,1605,US,USD,1518242400,1518242400,FALSE,TRUE,music/indie rock,104%,77021.5,,
457,"Sheppard, Smith and Spence",Cloned asymmetric functionalities,5000,1332,failed,46,US,USD,1476421200,1476594000,FALSE,FALSE,theater/plays,27%,689,,
458,"Wise, Thompson and Allen",Pre-emptive neutral portal,33800,118706,successful,2120,US,USD,1269752400,1273554000,FALSE,FALSE,theater/plays,351%,60413,,
459,"Lane, Ryan and Chapman",Switchable demand-driven help-desk,6300,5674,failed,105,US,USD,1419746400,1421906400,FALSE,FALSE,film & video/documentary,90%,2889.5,,
460,"Rich, Alvarez and King",Business-focused static ability,2400,4119,successful,50,US,USD,1281330000,1281589200,FALSE,FALSE,theater/plays,172%,2084.5,,
461,Terry-Salinas,Networked secondary structure,98800,139354,successful,2080,US,USD,1398661200,1400389200,FALSE,FALSE,film & video/drama,141%,70717,,
462,Wang-Rodriguez,Total multimedia website,188800,57734,failed,535,US,USD,1359525600,1362808800,FALSE,FALSE,games/mobile games,31%,29134.5,,
463,Mckee-Hill,Cross-platform upward-trending parallelism,134300,145265,successful,2105,US,USD,1388469600,1388815200,FALSE,FALSE,film & video/animation,108%,73685,,
464,Gomez LLC,Pre-emptive mission-critical hardware,71200,95020,successful,2436,US,USD,1518328800,1519538400,FALSE,FALSE,theater/plays,133%,48728,,
465,Gonzalez-Robbins,Up-sized responsive protocol,4700,8829,successful,80,US,USD,1517032800,1517810400,FALSE,FALSE,publishing/translations,188%,4454.5,,
466,Obrien and Sons,Pre-emptive transitional frame,1200,3984,successful,42,US,USD,1368594000,1370581200,FALSE,TRUE,technology/wearables,332%,2013,,
467,Shaw Ltd,Profit-focused content-based application,1400,8053,successful,139,CA,CAD,1448258400,1448863200,FALSE,TRUE,technology/web,575%,4096,,
468,Hughes Inc,Streamlined neutral analyzer,4000,1620,failed,16,US,USD,1555218000,1556600400,FALSE,FALSE,theater/plays,41%,818,,
469,Olsen-Ryan,Assimilated neutral utilization,5600,10328,successful,159,US,USD,1431925200,1432098000,FALSE,FALSE,film & video/drama,184%,5243.5,,
470,"Grimes, Holland and Sloan",Extended dedicated archive,3600,10289,successful,381,US,USD,1481522400,1482127200,FALSE,FALSE,technology/wearables,286%,5335,,
471,Perry and Sons,Configurable static help-desk,3100,9889,successful,194,GB,GBP,1335934800,1335934800,FALSE,TRUE,food/food trucks,319%,5041.5,,
472,"Turner, Young and Collins",Self-enabling clear-thinking framework,153800,60342,failed,575,US,USD,1552280400,1556946000,FALSE,FALSE,music/rock,39%,30458.5,,
473,Richardson Inc,Assimilated fault-tolerant capacity,5000,8907,successful,106,US,USD,1529989200,1530075600,FALSE,FALSE,music/electric music,178%,4506.5,,
474,Santos-Young,Enhanced neutral ability,4000,14606,successful,142,US,USD,1418709600,1418796000,FALSE,FALSE,film & video/television,365%,7374,,
475,Nichols Ltd,Function-based attitude-oriented groupware,7400,8432,successful,211,US,USD,1372136400,1372482000,FALSE,TRUE,publishing/translations,114%,4321.5,,
476,Murphy PLC,Optional solution-oriented instruction set,191500,57122,failed,1120,US,USD,1533877200,1534395600,FALSE,FALSE,publishing/fiction,30%,29121,,
477,"Hogan, Porter and Rivera",Organic object-oriented core,8500,4613,failed,113,US,USD,1309064400,1311397200,FALSE,FALSE,film & video/science fiction,54%,2363,,
478,Lyons LLC,Balanced impactful circuit,68800,162603,successful,2756,US,USD,1425877200,1426914000,FALSE,FALSE,technology/wearables,236%,82679.5,,
479,Long-Greene,Future-proofed heuristic encryption,2400,12310,successful,173,GB,GBP,1501304400,1501477200,FALSE,FALSE,food/food trucks,513%,6241.5,,
480,Robles-Hudson,Balanced bifurcated leverage,8600,8656,successful,87,US,USD,1268287200,1269061200,FALSE,TRUE,photography/photography books,101%,4371.5,,
481,Mcclure LLC,Sharable discrete budgetary management,196600,159931,failed,1538,US,USD,1412139600,1415772000,FALSE,TRUE,theater/plays,81%,80734.5,,
482,"Martin, Russell and Baker",Focused solution-oriented instruction set,4200,689,failed,9,US,USD,1330063200,1331013600,FALSE,TRUE,publishing/fiction,16%,349,,
483,Rice-Parker,Down-sized actuating infrastructure,91400,48236,failed,554,US,USD,1576130400,1576735200,FALSE,FALSE,theater/plays,53%,24395,,
484,Landry Inc,Synergistic cohesive adapter,29600,77021,successful,1572,GB,GBP,1407128400,1411362000,FALSE,TRUE,food/food trucks,260%,39296.5,,
485,Richards-Davis,Quality-focused mission-critical structure,90600,27844,failed,648,GB,GBP,1560142800,1563685200,FALSE,FALSE,theater/plays,31%,14246,,
486,"Davis, Cox and Fox",Compatible exuding Graphical User Interface,5200,702,failed,21,GB,GBP,1520575200,1521867600,FALSE,TRUE,publishing/translations,14%,361.5,,
487,Smith-Wallace,Monitored 24/7 time-frame,110300,197024,successful,2346,US,USD,1492664400,1495515600,FALSE,FALSE,theater/plays,179%,99685,,
488,"Cordova, Shaw and Wang",Virtual secondary open architecture,5300,11663,successful,115,US,USD,1454479200,1455948000,FALSE,FALSE,theater/plays,220%,5889,,
489,Clark Inc,Down-sized mobile time-frame,9200,9339,successful,85,IT,EUR,1281934800,1282366800,FALSE,FALSE,technology/wearables,102%,4712,,
490,Young and Sons,Innovative disintermediate encryption,2400,4596,successful,144,US,USD,1573970400,1574575200,FALSE,FALSE,journalism/audio,192%,2370,,
491,Henson PLC,Universal contextually-based knowledgebase,56800,173437,successful,2443,US,USD,1372654800,1374901200,FALSE,TRUE,food/food trucks,305%,87940,,
492,Garcia Group,Persevering interactive matrix,191000,45831,canceled,595,US,USD,1275886800,1278910800,TRUE,TRUE,film & video/shorts,24%,23213,,
493,"Adams, Walker and Wong",Seamless background framework,900,6514,successful,64,US,USD,1561784400,1562907600,FALSE,FALSE,photography/photography books,724%,3289,,
494,Hopkins-Browning,Balanced upward-trending productivity,2500,13684,successful,268,US,USD,1332392400,1332478800,FALSE,FALSE,technology/wearables,547%,6976,,
495,"Bell, Edwards and Andersen",Centralized clear-thinking solution,3200,13264,successful,195,DK,DKK,1402376400,1402722000,FALSE,FALSE,theater/plays,415%,6729.5,,
496,Morales Group,Optimized bi-directional extranet,183800,1667,failed,54,US,USD,1495342800,1496811600,FALSE,FALSE,film & video/animation,1%,860.5,,
497,Lucero Group,Intuitive actuating benchmark,9800,3349,failed,120,US,USD,1482213600,1482213600,FALSE,TRUE,technology/wearables,34%,1734.5,,
498,"Smith, Brown and Davis",Devolved background project,193400,46317,failed,579,DK,DKK,1420092000,1420264800,FALSE,FALSE,technology/web,24%,23448,,
499,Hunt Group,Reverse-engineered executive emulation,163800,78743,failed,2072,US,USD,1458018000,1458450000,FALSE,TRUE,film & video/documentary,48%,40407.5,,
500,Valdez Ltd,Team-oriented clear-thinking matrix,100,0,failed,0,US,USD,1367384400,1369803600,FALSE,TRUE,theater/plays,0%,0,,
501,Mccann-Le,Focused coherent methodology,153600,107743,failed,1796,US,USD,1363064400,1363237200,FALSE,FALSE,film & video/documentary,70%,54769.5,,
502,Johnson Inc,Reduced context-sensitive complexity,1300,6889,successful,186,AU,AUD,1343365200,1345870800,FALSE,TRUE,games/video games,530%,3537.5,,
503,Collins LLC,Decentralized 4thgeneration time-frame,25500,45983,successful,460,US,USD,1435726800,1437454800,FALSE,FALSE,film & video/drama,180%,23221.5,,
504,Smith-Miller,De-engineered cohesive moderator,7500,6924,failed,62,IT,EUR,1431925200,1432011600,FALSE,FALSE,music/rock,92%,3493,,
505,Jensen-Vargas,Ameliorated explicit parallelism,89900,12497,failed,347,US,USD,1362722400,1366347600,FALSE,TRUE,publishing/radio & podcasts,14%,6422,,
506,"Robles, Bell and Gonzalez",Customizable background monitoring,18000,166874,successful,2528,US,USD,1511416800,1512885600,FALSE,TRUE,theater/plays,927%,84701,,
507,"Turner, Miller and Francis",Compatible well-modulated budgetary management,2100,837,failed,19,US,USD,1365483600,1369717200,FALSE,TRUE,technology/web,40%,428,,
508,Roberts Group,Up-sized radical pricing structure,172700,193820,successful,3657,US,USD,1532840400,1534654800,FALSE,FALSE,theater/plays,112%,98738.5,,
509,White LLC,Robust zero-defect project,168500,119510,failed,1258,US,USD,1336194000,1337058000,FALSE,FALSE,theater/plays,71%,60384,,
510,"Best, Miller and Thomas",Re-engineered mobile task-force,7800,9289,successful,131,AU,AUD,1527742800,1529816400,FALSE,FALSE,film & video/drama,119%,4710,,
511,Smith-Mullins,User-centric intangible neural-net,147800,35498,failed,362,US,USD,1564030800,1564894800,FALSE,FALSE,theater/plays,24%,17930,,
512,Williams-Walsh,Organized explicit core,9100,12678,successful,239,US,USD,1404536400,1404622800,FALSE,TRUE,games/video games,139%,6458.5,,
513,"Harrison, Blackwell and Mendez",Synchronized 6thgeneration adapter,8300,3260,canceled,35,US,USD,1284008400,1284181200,FALSE,FALSE,film & video/television,39%,1647.5,,
514,"Sanchez, Bradley and Flores",Centralized motivating capacity,138700,31123,canceled,528,CH,CHF,1386309600,1386741600,FALSE,TRUE,music/rock,22%,15825.5,,
515,Cox LLC,Phased 24hour flexibility,8600,4797,failed,133,CA,CAD,1324620000,1324792800,FALSE,TRUE,theater/plays,56%,2465,,
516,Morales-Odonnell,Exclusive 5thgeneration structure,125400,53324,failed,846,US,USD,1281070800,1284354000,FALSE,FALSE,publishing/nonfiction,43%,27085,,
517,Ramirez LLC,Multi-tiered maximized orchestration,5900,6608,successful,78,US,USD,1493960400,1494392400,FALSE,FALSE,food/food trucks,112%,3343,,
518,Ramirez Group,Open-architected uniform instruction set,8800,622,failed,10,US,USD,1519365600,1519538400,FALSE,TRUE,film & video/animation,7%,316,,
519,Marsh-Coleman,Exclusive asymmetric analyzer,177700,180802,successful,1773,US,USD,1420696800,1421906400,FALSE,TRUE,music/rock,102%,91287.5,,
520,"Frederick, Jenkins and Collins",Organic radical collaboration,800,3406,successful,32,US,USD,1555650000,1555909200,FALSE,FALSE,theater/plays,426%,1719,,
521,Wilson Ltd,Function-based multi-state software,7600,11061,successful,369,US,USD,1471928400,1472446800,FALSE,TRUE,film & video/drama,146%,5715,,
522,"Cline, Peterson and Lowery",Innovative static budgetary management,50500,16389,failed,191,US,USD,1341291600,1342328400,FALSE,FALSE,film & video/shorts,32%,8290,,
523,"Underwood, James and Jones",Triple-buffered holistic ability,900,6303,successful,89,US,USD,1267682400,1268114400,FALSE,FALSE,film & video/shorts,700%,3196,,
524,Johnson-Contreras,Diverse scalable superstructure,96700,81136,failed,1979,US,USD,1272258000,1273381200,FALSE,FALSE,theater/plays,84%,41557.5,,
525,"Greene, Lloyd and Sims",Balanced leadingedge data-warehouse,2100,1768,failed,63,US,USD,1290492000,1290837600,FALSE,FALSE,technology/wearables,84%,915.5,,
526,Smith-Sparks,Digitized bandwidth-monitored open architecture,8300,12944,successful,147,US,USD,1451109600,1454306400,FALSE,TRUE,theater/plays,156%,6545.5,,
527,Rosario-Smith,Enterprise-wide intermediate portal,189200,188480,failed,6080,CA,CAD,1454652000,1457762400,FALSE,FALSE,film & video/animation,100%,97280,,
528,"Avila, Ford and Welch",Focused leadingedge matrix,9000,7227,failed,80,GB,GBP,1385186400,1389074400,FALSE,FALSE,music/indie rock,80%,3653.5,,
529,Gallegos Inc,Seamless logistical encryption,5100,574,failed,9,US,USD,1399698000,1402117200,FALSE,FALSE,games/video games,11%,291.5,,
530,"Morrow, Santiago and Soto",Stand-alone human-resource workforce,105000,96328,failed,1784,US,USD,1283230800,1284440400,FALSE,TRUE,publishing/fiction,92%,49056,,
531,Berry-Richardson,Automated zero tolerance implementation,186700,178338,live,3640,CH,CHF,1384149600,1388988000,FALSE,FALSE,games/video games,96%,90989,,
532,Cordova-Torres,Pre-emptive grid-enabled contingency,1600,8046,successful,126,CA,CAD,1516860000,1516946400,FALSE,FALSE,theater/plays,503%,4086,,
533,"Holt, Bernard and Johnson",Multi-lateral didactic encoding,115600,184086,successful,2218,GB,GBP,1374642000,1377752400,FALSE,FALSE,music/indie rock,159%,93152,,
534,"Clark, Mccormick and Mendoza",Self-enabling didactic orchestration,89100,13385,failed,243,US,USD,1534482000,1534568400,FALSE,TRUE,film & video/drama,15%,6814,,
535,Garrison LLC,Profit-focused 24/7 data-warehouse,2600,12533,successful,202,IT,EUR,1528434000,1528606800,FALSE,TRUE,theater/plays,482%,6367.5,,
536,Shannon-Olson,Enhanced methodical middleware,9800,14697,successful,140,IT,EUR,1282626000,1284872400,FALSE,FALSE,publishing/fiction,150%,7418.5,,
